Date,Team,TMValue
2022-07-01,B SAD,6.4
2022-07-01,FC Penafiel,5.78
2022-07-01,SC União Torreense,2.25
2022-07-01,CD Nacional,5.15
2022-07-01,CD Trofense,3.8
2022-07-01,CD Feirense,6.05
2022-07-01,Leixões SC,4.65
2022-07-01,CF Estrela Amadora SAD,2.98
2022-07-01,SC Covilhã,1.85
2022-07-01,UD Oliveirense,1.93
2022-06-15,SL Benfica,263.5
2022-06-15,FC Porto,298.5
2022-06-15,Sporting CP,263.6
2022-06-15,SC Braga,120.5
2022-06-15,FC Famalicão,47.95
2022-06-15,Vitória Guimarães SC,47.0
2022-06-15,Gil Vicente FC,26.73
2022-06-15,FC Paços de Ferreira,18.85
2022-06-15,GD Estoril Praia,23.45
2022-06-15,CD Santa Clara,20.25
2022-06-15,Boavista FC,28.7
2022-06-15,Portimonense SC,20.5
2022-06-15,Rio Ave FC,9.0
2022-06-15,CS Marítimo,13.85
2022-06-15,FC Vizela,15.33
2022-06-15,Casa Pia AC,6.15
2022-06-15,FC Arouca,13.98
2022-06-15,GD Chaves,6.48
2022-06-15,SL Benfica B,19.23
2022-06-15,FC Porto B,15.2
2022-06-15,Moreirense FC,11.3
2022-06-15,Académico Viseu FC,4.58
2022-06-15,SC Farense,6.05
2022-06-15,CD Tondela,19.45
2022-06-15,CD Mafra,6.73
2022-06-15,UD Vilafranquense,5.18
2022-06-15,B SAD,13.0
2022-06-15,FC Penafiel,4.0
2022-06-15,SC União Torreense,1.85
2022-06-15,CD Nacional,6.53
2022-06-15,CD Trofense,4.83
2022-06-15,CD Feirense,5.78
2022-06-15,Leixões SC,6.2
2022-06-15,CF Estrela Amadora SAD,5.48
2022-06-15,SC Covilhã,3.9
2022-06-15,UD Oliveirense,2.08
2022-06-01,SL Benfica,263.5
2022-06-01,FC Porto,298.5
2022-06-01,Sporting CP,263.6
2022-06-01,SC Braga,120.5
2022-06-01,FC Famalicão,47.95
2022-06-01,Vitória Guimarães SC,47.0
2022-06-01,Gil Vicente FC,26.73
2022-06-01,FC Paços de Ferreira,18.85
2022-06-01,GD Estoril Praia,23.45
2022-06-01,CD Santa Clara,20.25
2022-06-01,Boavista FC,28.7
2022-06-01,Portimonense SC,20.5
2022-06-01,Rio Ave FC,9.23
2022-06-01,CS Marítimo,13.85
2022-06-01,FC Vizela,15.33
2022-06-01,Casa Pia AC,6.15
2022-06-01,FC Arouca,13.98
2022-06-01,GD Chaves,6.48
2022-06-01,SL Benfica B,19.23
2022-06-01,FC Porto B,15.2
2022-06-01,Moreirense FC,11.3
2022-06-01,Académico Viseu FC,4.58
2022-06-01,SC Farense,6.05
2022-06-01,CD Tondela,19.45
2022-06-01,CD Mafra,6.73
2022-06-01,UD Vilafranquense,5.18
2022-06-01,B SAD,13.0
2022-06-01,FC Penafiel,4.3
2022-06-01,SC União Torreense,2.03
2022-06-01,CD Nacional,6.53
2022-06-01,CD Trofense,4.83
2022-06-01,CD Feirense,5.78
2022-06-01,Leixões SC,6.2
2022-06-01,CF Estrela Amadora SAD,5.48
2022-06-01,SC Covilhã,3.9
2022-06-01,UD Oliveirense,2.08
2022-05-15,SL Benfica,266.0
2022-05-15,FC Porto,259.3
2022-05-15,Sporting CP,261.2
2022-05-15,SC Braga,111.5
2022-05-15,FC Famalicão,47.95
2022-05-15,Vitória Guimarães SC,43.95
2022-05-15,Gil Vicente FC,25.85
2022-05-15,FC Paços de Ferreira,19.15
2022-05-15,GD Estoril Praia,26.1
2022-05-15,CD Santa Clara,19.63
2022-05-15,Boavista FC,26.4
2022-05-15,Portimonense SC,20.55
2022-05-15,Rio Ave FC,9.23
2022-05-15,CS Marítimo,14.55
2022-05-15,FC Vizela,15.65
2022-05-15,Casa Pia AC,6.15
2022-05-15,FC Arouca,14.0
2022-05-15,GD Chaves,6.18
2022-05-15,SL Benfica B,12.15
2022-05-15,FC Porto B,15.2
2022-05-15,Moreirense FC,14.75
2022-05-15,Académico Viseu FC,4.58
2022-05-15,SC Farense,6.05
2022-05-15,CD Tondela,20.95
2022-05-15,CD Mafra,6.73
2022-05-15,UD Vilafranquense,5.18
2022-05-15,B SAD,15.13
2022-05-15,FC Penafiel,4.3
2022-05-15,SC União Torreense,2.03
2022-05-15,CD Nacional,6.53
2022-05-15,CD Trofense,4.83
2022-05-15,CD Feirense,5.83
2022-05-15,Leixões SC,6.2
2022-05-15,CF Estrela Amadora SAD,5.48
2022-05-15,SC Covilhã,3.9
2022-05-15,UD Oliveirense,2.08
2022-05-01,SL Benfica,266.0
2022-05-01,FC Porto,259.3
2022-05-01,Sporting CP,261.2
2022-05-01,SC Braga,111.5
2022-05-01,FC Famalicão,47.95
2022-05-01,Vitória Guimarães SC,43.95
2022-05-01,Gil Vicente FC,25.85
2022-05-01,FC Paços de Ferreira,19.15
2022-05-01,GD Estoril Praia,26.1
2022-05-01,CD Santa Clara,19.63
2022-05-01,Boavista FC,26.4
2022-05-01,Portimonense SC,20.55
2022-05-01,Rio Ave FC,9.23
2022-05-01,CS Marítimo,14.55
2022-05-01,FC Vizela,15.65
2022-05-01,Casa Pia AC,6.15
2022-05-01,FC Arouca,14.0
2022-05-01,GD Chaves,6.18
2022-05-01,SL Benfica B,12.15
2022-05-01,FC Porto B,15.2
2022-05-01,Moreirense FC,14.75
2022-05-01,Académico Viseu FC,4.58
2022-05-01,SC Farense,6.05
2022-05-01,CD Tondela,20.95
2022-05-01,CD Mafra,6.73
2022-05-01,UD Vilafranquense,5.18
2022-05-01,B SAD,15.13
2022-05-01,FC Penafiel,4.3
2022-05-01,SC União Torreense,2.03
2022-05-01,CD Nacional,6.53
2022-05-01,CD Trofense,4.83
2022-05-01,CD Feirense,6.33
2022-05-01,Leixões SC,6.2
2022-05-01,CF Estrela Amadora SAD,5.48
2022-05-01,SC Covilhã,3.9
2022-05-01,UD Oliveirense,2.08
2022-04-15,SL Benfica,266.0
2022-04-15,FC Porto,259.3
2022-04-15,Sporting CP,261.2
2022-04-15,SC Braga,113.5
2022-04-15,FC Famalicão,47.95
2022-04-15,Vitória Guimarães SC,43.95
2022-04-15,Gil Vicente FC,25.85
2022-04-15,FC Paços de Ferreira,19.15
2022-04-15,GD Estoril Praia,26.1
2022-04-15,CD Santa Clara,19.63
2022-04-15,Boavista FC,26.4
2022-04-15,Portimonense SC,21.35
2022-04-15,Rio Ave FC,9.15
2022-04-15,CS Marítimo,14.55
2022-04-15,FC Vizela,15.65
2022-04-15,Casa Pia AC,6.15
2022-04-15,FC Arouca,14.0
2022-04-15,GD Chaves,6.18
2022-04-15,SL Benfica B,12.15
2022-04-15,FC Porto B,15.2
2022-04-15,Moreirense FC,14.75
2022-04-15,Académico Viseu FC,4.58
2022-04-15,SC Farense,6.05
2022-04-15,CD Tondela,20.95
2022-04-15,CD Mafra,6.73
2022-04-15,UD Vilafranquense,5.18
2022-04-15,B SAD,15.13
2022-04-15,FC Penafiel,4.3
2022-04-15,SC União Torreense,2.03
2022-04-15,CD Nacional,6.53
2022-04-15,CD Trofense,4.83
2022-04-15,CD Feirense,6.33
2022-04-15,Leixões SC,6.2
2022-04-15,CF Estrela Amadora SAD,5.48
2022-04-15,SC Covilhã,3.9
2022-04-15,UD Oliveirense,2.08
2022-04-01,SL Benfica,266.0
2022-04-01,FC Porto,259.3
2022-04-01,Sporting CP,261.2
2022-04-01,SC Braga,113.5
2022-04-01,FC Famalicão,47.95
2022-04-01,Vitória Guimarães SC,43.95
2022-04-01,Gil Vicente FC,26.25
2022-04-01,FC Paços de Ferreira,19.15
2022-04-01,GD Estoril Praia,26.45
2022-04-01,CD Santa Clara,21.43
2022-04-01,Boavista FC,28.9
2022-04-01,Portimonense SC,24.25
2022-04-01,Rio Ave FC,10.45
2022-04-01,CS Marítimo,15.45
2022-04-01,FC Vizela,15.65
2022-04-01,Casa Pia AC,5.75
2022-04-01,FC Arouca,14.0
2022-04-01,GD Chaves,5.4
2022-04-01,SL Benfica B,9.68
2022-04-01,FC Porto B,16.15
2022-04-01,Moreirense FC,14.75
2022-04-01,Académico Viseu FC,4.9
2022-04-01,SC Farense,7.23
2022-04-01,CD Tondela,20.95
2022-04-01,CD Mafra,5.78
2022-04-01,UD Vilafranquense,5.75
2022-04-01,B SAD,15.13
2022-04-01,FC Penafiel,4.95
2022-04-01,SC União Torreense,2.03
2022-04-01,CD Nacional,8.15
2022-04-01,CD Trofense,4.83
2022-04-01,CD Feirense,5.33
2022-04-01,Leixões SC,5.38
2022-04-01,CF Estrela Amadora SAD,5.18
2022-04-01,SC Covilhã,3.48
2022-04-01,UD Oliveirense,2.08
2022-03-15,SL Benfica,266.0
2022-03-15,FC Porto,259.3
2022-03-15,Sporting CP,261.2
2022-03-15,SC Braga,111.5
2022-03-15,FC Famalicão,47.95
2022-03-15,Vitória Guimarães SC,43.95
2022-03-15,Gil Vicente FC,26.25
2022-03-15,FC Paços de Ferreira,19.15
2022-03-15,GD Estoril Praia,26.45
2022-03-15,CD Santa Clara,21.83
2022-03-15,Boavista FC,28.9
2022-03-15,Portimonense SC,25.1
2022-03-15,Rio Ave FC,10.45
2022-03-15,CS Marítimo,15.45
2022-03-15,FC Vizela,15.65
2022-03-15,Casa Pia AC,5.75
2022-03-15,FC Arouca,14.0
2022-03-15,GD Chaves,5.4
2022-03-15,SL Benfica B,10.28
2022-03-15,FC Porto B,16.15
2022-03-15,Moreirense FC,14.75
