Date,Team,TMValue
2016-06-01,FC Porto,157.35
2016-06-01,Sporting CP,166.75
2016-06-01,SC Braga,60.35
2016-06-01,FC Famalicão,5.0
2016-06-01,Vitória Guimarães SC,36.3
2016-06-01,Gil Vicente FC,6.68
2016-06-01,FC Paços de Ferreira,24.4
2016-06-01,GD Estoril Praia,21.55
2016-06-01,CD Santa Clara,3.88
2016-06-01,Boavista FC,15.48
2016-06-01,Portimonense SC,5.13
2016-06-01,Rio Ave FC,25.35
2016-06-01,CS Marítimo,19.1
2016-06-01,FC Vizela,1.05
2016-06-01,Casa Pia AC,1.28
2016-06-01,FC Arouca,19.5
2016-06-01,GD Chaves,9.25
2016-06-01,SL Benfica B,18.23
2016-06-01,FC Porto B,11.38
2016-06-01,Moreirense FC,14.35
2016-06-01,Académico Viseu FC,4.68
2016-06-01,SC Farense,3.85
2016-06-01,CD Tondela,11.2
2016-06-01,CD Mafra,2.43
2016-06-01,UD Vilafranquense,2.43
2016-06-01,B SAD,24.75
2016-06-01,FC Penafiel,7.13
2016-06-01,SC União Torreense,7.13
2016-06-01,CD Nacional,19.53
2016-06-01,CD Trofense,19.53
2016-06-01,CD Feirense,8.88
2016-06-01,Leixões SC,4.15
2016-06-01,CF Estrela Amadora SAD,4.15
2016-06-01,SC Covilhã,4.85
2016-06-01,UD Oliveirense,3.0
2016-05-15,SL Benfica,171.25
2016-05-15,FC Porto,157.35
2016-05-15,Sporting CP,166.75
2016-05-15,SC Braga,60.35
2016-05-15,FC Famalicão,5.0
2016-05-15,Vitória Guimarães SC,36.3
2016-05-15,Gil Vicente FC,6.68
2016-05-15,FC Paços de Ferreira,24.4
2016-05-15,GD Estoril Praia,21.55
2016-05-15,CD Santa Clara,3.88
2016-05-15,Boavista FC,15.48
2016-05-15,Portimonense SC,5.13
2016-05-15,Rio Ave FC,25.35
2016-05-15,CS Marítimo,20.35
2016-05-15,FC Vizela,1.05
2016-05-15,Casa Pia AC,1.38
2016-05-15,FC Arouca,19.5
2016-05-15,GD Chaves,9.25
2016-05-15,SL Benfica B,18.23
2016-05-15,FC Porto B,11.38
2016-05-15,Moreirense FC,14.45
2016-05-15,Académico Viseu FC,4.68
2016-05-15,SC Farense,3.85
2016-05-15,CD Tondela,11.2
2016-05-15,CD Mafra,2.43
2016-05-15,UD Vilafranquense,2.43
2016-05-15,B SAD,23.5
2016-05-15,FC Penafiel,7.13
2016-05-15,SC União Torreense,7.13
2016-05-15,CD Nacional,19.53
2016-05-15,CD Trofense,19.53
2016-05-15,CD Feirense,8.8
2016-05-15,Leixões SC,4.15
2016-05-15,CF Estrela Amadora SAD,4.15
2016-05-15,SC Covilhã,4.85
2016-05-15,UD Oliveirense,3.0
2016-05-01,SL Benfica,171.25
2016-05-01,FC Porto,157.35
2016-05-01,Sporting CP,166.75
2016-05-01,SC Braga,60.35
2016-05-01,FC Famalicão,5.0
2016-05-01,Vitória Guimarães SC,36.3
2016-05-01,Gil Vicente FC,6.68
2016-05-01,FC Paços de Ferreira,24.4
2016-05-01,GD Estoril Praia,21.55
2016-05-01,CD Santa Clara,3.88
2016-05-01,Boavista FC,15.48
2016-05-01,Portimonense SC,5.13
2016-05-01,Rio Ave FC,25.35
2016-05-01,CS Marítimo,20.15
2016-05-01,FC Vizela,1.05
2016-05-01,Casa Pia AC,1.38
2016-05-01,FC Arouca,19.5
2016-05-01,GD Chaves,9.25
2016-05-01,SL Benfica B,18.23
2016-05-01,FC Porto B,11.38
2016-05-01,Moreirense FC,14.45
2016-05-01,Académico Viseu FC,4.68
2016-05-01,SC Farense,3.85
2016-05-01,CD Tondela,11.2
2016-05-01,CD Mafra,2.43
2016-05-01,UD Vilafranquense,2.43
2016-05-01,B SAD,23.5
2016-05-01,FC Penafiel,7.13
2016-05-01,SC União Torreense,7.13
2016-05-01,CD Nacional,19.53
2016-05-01,CD Trofense,19.53
2016-05-01,CD Feirense,8.8
2016-05-01,Leixões SC,4.15
2016-05-01,CF Estrela Amadora SAD,4.15
2016-05-01,SC Covilhã,4.85
2016-05-01,UD Oliveirense,3.0
2016-04-15,SL Benfica,171.25
2016-04-15,FC Porto,148.35
2016-04-15,Sporting CP,166.75
2016-04-15,SC Braga,60.35
2016-04-15,FC Famalicão,5.0
2016-04-15,Vitória Guimarães SC,36.3
2016-04-15,Gil Vicente FC,6.68
2016-04-15,FC Paços de Ferreira,24.4
2016-04-15,GD Estoril Praia,21.55
2016-04-15,CD Santa Clara,3.88
2016-04-15,Boavista FC,15.48
2016-04-15,Portimonense SC,5.13
2016-04-15,Rio Ave FC,25.35
2016-04-15,CS Marítimo,20.15
2016-04-15,FC Vizela,1.05
2016-04-15,Casa Pia AC,1.38
2016-04-15,FC Arouca,19.5
2016-04-15,GD Chaves,9.25
2016-04-15,SL Benfica B,18.23
2016-04-15,FC Porto B,11.38
2016-04-15,Moreirense FC,14.45
2016-04-15,Académico Viseu FC,4.68
2016-04-15,SC Farense,3.85
2016-04-15,CD Tondela,11.2
2016-04-15,CD Mafra,2.43
2016-04-15,UD Vilafranquense,2.43
2016-04-15,B SAD,23.5
2016-04-15,FC Penafiel,7.13
2016-04-15,SC União Torreense,7.13
2016-04-15,CD Nacional,19.53
2016-04-15,CD Trofense,19.53
2016-04-15,CD Feirense,8.8
2016-04-15,Leixões SC,4.15
2016-04-15,CF Estrela Amadora SAD,4.15
2016-04-15,SC Covilhã,4.85
2016-04-15,UD Oliveirense,3.0
2016-04-01,SL Benfica,171.25
2016-04-01,FC Porto,147.1
2016-04-01,Sporting CP,166.75
2016-04-01,SC Braga,60.35
2016-04-01,FC Famalicão,5.0
2016-04-01,Vitória Guimarães SC,36.3
2016-04-01,Gil Vicente FC,6.68
2016-04-01,FC Paços de Ferreira,24.4
2016-04-01,GD Estoril Praia,21.55
2016-04-01,CD Santa Clara,3.88
2016-04-01,Boavista FC,15.48
2016-04-01,Portimonense SC,5.13
2016-04-01,Rio Ave FC,25.35
2016-04-01,CS Marítimo,20.15
2016-04-01,FC Vizela,1.05
2016-04-01,Casa Pia AC,1.38
2016-04-01,FC Arouca,19.5
2016-04-01,GD Chaves,9.25
2016-04-01,SL Benfica B,18.23
2016-04-01,FC Porto B,11.38
2016-04-01,Moreirense FC,14.45
2016-04-01,Académico Viseu FC,4.68
2016-04-01,SC Farense,3.85
2016-04-01,CD Tondela,11.2
2016-04-01,CD Mafra,2.43
2016-04-01,UD Vilafranquense,2.43
2016-04-01,B SAD,23.5
2016-04-01,FC Penafiel,7.13
2016-04-01,SC União Torreense,7.13
2016-04-01,CD Nacional,19.53
2016-04-01,CD Trofense,19.53
2016-04-01,CD Feirense,8.8
2016-04-01,Leixões SC,4.15
2016-04-01,CF Estrela Amadora SAD,4.15
2016-04-01,SC Covilhã,4.85
2016-04-01,UD Oliveirense,3.0
2016-03-15,SL Benfica,170.55
2016-03-15,FC Porto,147.1
2016-03-15,Sporting CP,166.75
2016-03-15,SC Braga,60.35
2016-03-15,FC Famalicão,3.7
2016-03-15,Vitória Guimarães SC,36.18
2016-03-15,Gil Vicente FC,6.08
2016-03-15,FC Paços de Ferreira,21.4
2016-03-15,GD Estoril Praia,21.55
2016-03-15,CD Santa Clara,4.3
2016-03-15,Boavista FC,15.48
2016-03-15,Portimonense SC,3.83
2016-03-15,Rio Ave FC,25.35
2016-03-15,CS Marítimo,20.05
2016-03-15,FC Vizela,1.05
2016-03-15,Casa Pia AC,1.38
2016-03-15,FC Arouca,20.0
2016-03-15,GD Chaves,10.33
2016-03-15,SL Benfica B,18.08
2016-03-15,FC Porto B,6.78
2016-03-15,Moreirense FC,14.45
2016-03-15,Académico Viseu FC,4.95
2016-03-15,SC Farense,3.98
2016-03-15,CD Tondela,11.2
2016-03-15,CD Mafra,2.35
2016-03-15,UD Vilafranquense,2.35
2016-03-15,B SAD,23.5
2016-03-15,FC Penafiel,8.83
2016-03-15,SC União Torreense,8.83
2016-03-15,CD Nacional,19.53
2016-03-15,CD Trofense,19.53
2016-03-15,CD Feirense,7.75
2016-03-15,Leixões SC,4.5
2016-03-15,CF Estrela Amadora SAD,4.5
2016-03-15,SC Covilhã,4.18
2016-03-15,UD Oliveirense,3.73
2016-03-01,SL Benfica,172.55
2016-03-01,FC Porto,146.1
2016-03-01,Sporting CP,166.75
2016-03-01,SC Braga,60.35
2016-03-01,FC Famalicão,3.7
2016-03-01,Vitória Guimarães SC,36.18
2016-03-01,Gil Vicente FC,6.08
2016-03-01,FC Paços de Ferreira,24.4
2016-03-01,GD Estoril Praia,21.55
2016-03-01,CD Santa Clara,4.25
2016-03-01,Boavista FC,15.48
2016-03-01,Portimonense SC,4.63
2016-03-01,Rio Ave FC,25.35
2016-03-01,CS Marítimo,20.05
2016-03-01,FC Vizela,1.05
2016-03-01,Casa Pia AC,1.38
2016-03-01,FC Arouca,20.0
2016-03-01,GD Chaves,10.33
2016-03-01,SL Benfica B,16.08
2016-03-01,FC Porto B,5.33
2016-03-01,Moreirense FC,14.45
2016-03-01,Académico Viseu FC,4.95
2016-03-01,SC Farense,3.98
2016-03-01,CD Tondela,11.2
2016-03-01,CD Mafra,2.35
2016-03-01,UD Vilafranquense,2.35
2016-03-01,B SAD,23.5
2016-03-01,FC Penafiel,8.83
2016-03-01,SC União Torreense,8.83
2016-03-01,CD Nacional,19.55
2016-03-01,CD Trofense,19.55
2016-03-01,CD Feirense,7.85
2016-03-01,Leixões SC,4.5
2016-03-01,CF Estrela Amadora SAD,4.5
2016-03-01,SC Covilhã,4.18
2016-03-01,UD Oliveirense,3.73
2016-02-15,SL Benfica,148.7
2016-02-15,FC Porto,145.1
2016-02-15,Sporting CP,160.65
2016-02-15,SC Braga,51.35
2016-02-15,FC Famalicão,3.7
2016-02-15,Vitória Guimarães SC,35.8
2016-02-15,Gil Vicente FC,6.08
2016-02-15,FC Paços de Ferreira,18.6
2016-02-15,GD Estoril Praia,22.03
2016-02-15,CD Santa Clara,4.25
2016-02-15,Boavista FC,16.53
2016-02-15,Portimonense SC,5.33
2016-02-15,Rio Ave FC,26.7
2016-02-15,CS Marítimo,20.68
2016-02-15,FC Vizela,1.05
2016-02-15,Casa Pia AC,1.98
2016-02-15,FC Arouca,19.4
2016-02-15,GD Chaves,10.33
2016-02-15,SL Benfica B,17.38
2016-02-15,FC Porto B,4.48
2016-02-15,Moreirense FC,13.53
2016-02-15,Académico Viseu FC,4.6
2016-02-15,SC Farense,3.98
2016-02-15,CD Tondela,11.45
2016-02-15,CD Mafra,2.35
2016-02-15,UD Vilafranquense,2.35
2016-02-15,B SAD,23.5
2016-02-15,FC Penafiel,8.83
2016-02-15,SC União Torreense,8.83
2016-02-15,CD Nacional,19.95
2016-02-15,CD Trofense,19.95
2016-02-15,CD Feirense,7.85
2016-02-15,Leixões SC,4.5
2016-02-15,CF Estrela Amadora SAD,4.5
2016-02-15,SC Covilhã,4.18
2016-02-15,UD Oliveirense,3.73
2016-02-01,SL Benfica,149.95
2016-02-01,FC Porto,166.85
2016-02-01,Sporting CP,171.95
2016-02-01,SC Braga,51.43
2016-02-01,FC Famalicão,3.7
2016-02-01,Vitória Guimarães SC,34.4
2016-02-01,Gil Vicente FC,6.23
2016-02-01,FC Paços de Ferreira,17.65
2016-02-01,GD Estoril Praia,21.13
2016-02-01,CD Santa Clara,4.25
2016-02-01,Boavista FC,16.53
2016-02-01,Portimonense SC,5.33
2016-02-01,Rio Ave FC,24.6
2016-02-01,CS Marítimo,19.78
2016-02-01,FC Vizela,19.78
2016-02-01,Casa Pia AC,19.78
2016-02-01,FC Arouca,19.45
2016-02-01,GD Chaves,9.55
2016-02-01,SL Benfica B,18.2
2016-02-01,FC Porto B,5.03
2016-02-01,Moreirense FC,13.33
2016-02-01,Académico Viseu FC,4.85
2016-02-01,SC Farense,4.58
2016-02-01,CD Tondela,12.2
2016-02-01,CD Mafra,2.75
2016-02-01,UD Vilafranquense,2.75
2016-02-01,B SAD,25.25
2016-02-01,FC Penafiel,9.08
2016-02-01,SC União Torreense,9.08
2016-02-01,CD Nacional,21.65
2016-02-01,CD Trofense,21.65
2016-02-01,CD Feirense,8.15
2016-02-01,Leixões SC,3.78
2016-02-01,CF Estrela Amadora SAD,3.78
2016-02-01,SC Covilhã,4.15
2016-02-01,UD Oliveirense,3.68
2016-01-15,SL Benfica,156.25
2016-01-15,FC Porto,173.65
2016-01-15,Sporting CP,171.45
2016-01-15,SC Braga,47.68
2016-01-15,FC Famalicão,3.7
2016-01-15,Vitória Guimarães SC,33.3
2016-01-15,Gil Vicente FC,6.35
2016-01-15,FC Paços de Ferreira,18.8
2016-01-15,GD Estoril Praia,21.73
2016-01-15,CD Santa Clara,4.1
2016-01-15,Boavista FC,15.43
2016-01-15,Portimonense SC,5.33
2016-01-15,Rio Ave FC,25.75
2016-01-15,CS Marítimo,22.88
2016-01-15,FC Vizela,22.88
2016-01-15,Casa Pia AC,1.08
2016-01-15,FC Arouca,22.45
2016-01-15,GD Chaves,8.8
2016-01-15,SL Benfica B,17.05
2016-01-15,FC Porto B,5.93
2016-01-15,Moreirense FC,14.63
2016-01-15,Académico Viseu FC,5.1
2016-01-15,SC Farense,3.83
2016-01-15,CD Tondela,11.0
2016-01-15,CD Mafra,1.95
2016-01-15,UD Vilafranquense,1.95
2016-01-15,B SAD,23.1
2016-01-15,FC Penafiel,8.73
2016-01-15,SC União Torreense,1.03
2016-01-15,CD Nacional,21.0
2016-01-15,CD Trofense,21.0
2016-01-15,CD Feirense,6.08
2016-01-15,Leixões SC,3.48
2016-01-15,CF Estrela Amadora SAD,3.48
2016-01-15,SC Covilhã,3.85
2016-01-15,UD Oliveirense,3.28
2016-01-01,SL Benfica,159.45
2016-01-01,FC Porto,177.55
2016-01-01,Sporting CP,170.45
2016-01-01,SC Braga,49.38
2016-01-01,FC Famalicão,3.7
2016-01-01,Vitória Guimarães SC,33.3
2016-01-01,Gil Vicente FC,6.35
2016-01-01,FC Paços de Ferreira,19.3
2016-01-01,GD Estoril Praia,20.98
2016-01-01,CD Santa Clara,4.23
2016-01-01,Boavista FC,17.38
2016-01-01,Portimonense SC,5.33
2016-01-01,Rio Ave FC,26.9
2016-01-01,CS Marítimo,22.48
2016-01-01,FC Vizela,22.48
2016-01-01,Casa Pia AC,1.1
2016-01-01,FC Arouca,22.45
2016-01-01,GD Chaves,8.93
2016-01-01,SL Benfica B,16.03
2016-01-01,FC Porto B,7.03
2016-01-01,Moreirense FC,13.13
2016-01-01,Académico Viseu FC,5.1
2016-01-01,SC Farense,3.73
2016-01-01,CD Tondela,11.7
2016-01-01,CD Mafra,2.5
2016-01-01,UD Vilafranquense,2.5
2016-01-01,B SAD,25.2
2016-01-01,FC Penafiel,8.73
2016-01-01,SC União Torreense,1.1
2016-01-01,CD Nacional,21.65
2016-01-01,CD Trofense,21.65
2016-01-01,CD Feirense,6.05
2016-01-01,Leixões SC,3.7
2016-01-01,CF Estrela Amadora SAD,3.7
2016-01-01,SC Covilhã,3.6
2016-01-01,UD Oliveirense,3.33
2015-12-15,SL Benfica,162.7
2015-12-15,FC Porto,178.05
2015-12-15,Sporting CP,173.95
2015-12-15,SC Braga,48.78
2015-12-15,FC Famalicão,3.7
2015-12-15,Vitória Guimarães SC,33.55
2015-12-15,Gil Vicente FC,7.05
2015-12-15,FC Paços de Ferreira,20.1
2015-12-15,GD Estoril Praia,20.23
2015-12-15,CD Santa Clara,4.23
2015-12-15,Boavista FC,17.28
2015-12-15,Portimonense SC,3.88
2015-12-15,Rio Ave FC,27.7
2015-12-15,CS Marítimo,22.48
2015-12-15,FC Vizela,22.48
2015-12-15,Casa Pia AC,1.1
2015-12-15,FC Arouca,19.95
2015-12-15,GD Chaves,8.93
2015-12-15,SL Benfica B,9.73
2015-12-15,FC Porto B,7.73
2015-12-15,Moreirense FC,14.63
2015-12-15,Académico Viseu FC,5.1
2015-12-15,SC Farense,4.25
2015-12-15,CD Tondela,11.35
2015-12-15,CD Mafra,2.5
2015-12-15,UD Vilafranquense,2.5
2015-12-15,B SAD,25.2
2015-12-15,FC Penafiel,8.73
2015-12-15,SC União Torreense,1.1
2015-12-15,CD Nacional,21.3
2015-12-15,CD Trofense,21.3
2015-12-15,CD Feirense,6.45
2015-12-15,Leixões SC,2.9
2015-12-15,CF Estrela Amadora SAD,2.9
2015-12-15,SC Covilhã,3.65
2015-12-15,UD Oliveirense,3.4
2015-12-01,SL Benfica,162.7
2015-12-01,FC Porto,178.05
2015-12-01,Sporting CP,173.95
2015-12-01,SC Braga,48.78
2015-12-01,FC Famalicão,3.7
2015-12-01,Vitória Guimarães SC,33.55
2015-12-01,Gil Vicente FC,7.05
2015-12-01,FC Paços de Ferreira,20.1
2015-12-01,GD Estoril Praia,20.23
2015-12-01,CD Santa Clara,4.23
2015-12-01,Boavista FC,17.28
2015-12-01,Portimonense SC,3.95
2015-12-01,Rio Ave FC,27.7
2015-12-01,CS Marítimo,22.48
2015-12-01,FC Vizela,22.48
2015-12-01,Casa Pia AC,1.1
2015-12-01,FC Arouca,19.95
2015-12-01,GD Chaves,8.93
2015-12-01,SL Benfica B,10.53
2015-12-01,FC Porto B,7.73
2015-12-01,Moreirense FC,14.63
2015-12-01,Académico Viseu FC,5.15
2015-12-01,SC Farense,4.25
2015-12-01,CD Tondela,11.35
2015-12-01,CD Mafra,2.5
2015-12-01,UD Vilafranquense,2.5
2015-12-01,B SAD,25.2
2015-12-01,FC Penafiel,8.73
2015-12-01,SC União Torreense,1.1
2015-12-01,CD Nacional,21.4
2015-12-01,CD Trofense,21.4
2015-12-01,CD Feirense,6.45
2015-12-01,Leixões SC,2.9
2015-12-01,CF Estrela Amadora SAD,2.9
2015-12-01,SC Covilhã,3.78
2015-12-01,UD Oliveirense,3.4
2015-11-15,SL Benfica,161.9
2015-11-15,FC Porto,178.05
2015-11-15,Sporting CP,169.95
2015-11-15,SC Braga,48.78
2015-11-15,FC Famalicão,3.75
2015-11-15,Vitória Guimarães SC,33.33
2015-11-15,Gil Vicente FC,7.05
2015-11-15,FC Paços de Ferreira,20.1
2015-11-15,GD Estoril Praia,20.23
2015-11-15,CD Santa Clara,4.25
2015-11-15,Boavista FC,17.28
2015-11-15,Portimonense SC,3.95
2015-11-15,Rio Ave FC,27.7
2015-11-15,CS Marítimo,22.48
2015-11-15,FC Vizela,22.48
2015-11-15,Casa Pia AC,1.1
2015-11-15,FC Arouca,19.95
2015-11-15,GD Chaves,8.93
2015-11-15,SL Benfica B,10.53
2015-11-15,FC Porto B,7.73
2015-11-15,Moreirense FC,14.63
2015-11-15,Académico Viseu FC,5.15
2015-11-15,SC Farense,4.25
2015-11-15,CD Tondela,11.35
2015-11-15,CD Mafra,2.58
2015-11-15,UD Vilafranquense,2.58
2015-11-15,B SAD,25.2
2015-11-15,FC Penafiel,8.73
2015-11-15,SC União Torreense,1.1
2015-11-15,CD Nacional,21.4
2015-11-15,CD Trofense,21.4
2015-11-15,CD Feirense,6.65
2015-11-15,Leixões SC,2.9
2015-11-15,CF Estrela Amadora SAD,2.9
2015-11-15,SC Covilhã,3.78
2015-11-15,UD Oliveirense,3.4
2015-11-01,SL Benfica,161.9
2015-11-01,FC Porto,178.05
2015-11-01,Sporting CP,167.95
2015-11-01,SC Braga,48.78
2015-11-01,FC Famalicão,3.75
2015-11-01,Vitória Guimarães SC,33.33
2015-11-01,Gil Vicente FC,7.05
2015-11-01,FC Paços de Ferreira,20.1
2015-11-01,GD Estoril Praia,22.23
2015-11-01,CD Santa Clara,4.45
2015-11-01,Boavista FC,17.28
2015-11-01,Portimonense SC,3.98
2015-11-01,Rio Ave FC,27.7
2015-11-01,CS Marítimo,22.73
2015-11-01,FC Vizela,22.73
2015-11-01,Casa Pia AC,1.03
2015-11-01,FC Arouca,19.95
2015-11-01,GD Chaves,8.93
2015-11-01,SL Benfica B,9.33
2015-11-01,FC Porto B,7.73
2015-11-01,Moreirense FC,14.63
2015-11-01,Académico Viseu FC,5.18
2015-11-01,SC Farense,4.28
2015-11-01,CD Tondela,11.35
2015-11-01,CD Mafra,2.43
2015-11-01,UD Vilafranquense,2.43
2015-11-01,B SAD,25.4
2015-11-01,FC Penafiel,8.73
2015-11-01,SC União Torreense,8.73
2015-11-01,CD Nacional,21.4
2015-11-01,CD Trofense,21.4
2015-11-01,CD Feirense,6.65
2015-11-01,Leixões SC,2.9
2015-11-01,CF Estrela Amadora SAD,2.9
2015-11-01,SC Covilhã,3.78
2015-11-01,UD Oliveirense,3.4
2015-10-15,SL Benfica,161.9
2015-10-15,FC Porto,178.05
2015-10-15,Sporting CP,169.15
2015-10-15,SC Braga,48.78
2015-10-15,FC Famalicão,3.85
2015-10-15,Vitória Guimarães SC,33.33
2015-10-15,Gil Vicente FC,7.05
2015-10-15,FC Paços de Ferreira,20.1
2015-10-15,GD Estoril Praia,22.28
2015-10-15,CD Santa Clara,4.45
2015-10-15,Boavista FC,17.33
2015-10-15,Portimonense SC,3.98
2015-10-15,Rio Ave FC,27.7
2015-10-15,CS Marítimo,22.73
2015-10-15,FC Vizela,22.73
2015-10-15,Casa Pia AC,22.73
2015-10-15,FC Arouca,19.95
2015-10-15,GD Chaves,8.93
2015-10-15,SL Benfica B,9.33
2015-10-15,FC Porto B,7.73
2015-10-15,Moreirense FC,14.63
2015-10-15,Académico Viseu FC,5.18
2015-10-15,SC Farense,4.3
2015-10-15,CD Tondela,11.35
2015-10-15,CD Mafra,2.43
2015-10-15,UD Vilafranquense,2.43
2015-10-15,B SAD,26.05
2015-10-15,FC Penafiel,8.33
2015-10-15,SC União Torreense,8.33
2015-10-15,CD Nacional,21.4
2015-10-15,CD Trofense,21.4
2015-10-15,CD Feirense,6.6
2015-10-15,Leixões SC,2.9
2015-10-15,CF Estrela Amadora SAD,2.9
2015-10-15,SC Covilhã,3.78
2015-10-15,UD Oliveirense,3.43
2015-10-01,SL Benfica,153.3
2015-10-01,FC Porto,164.95
2015-10-01,Sporting CP,170.95
2015-10-01,SC Braga,46.78
2015-10-01,FC Famalicão,3.85
2015-10-01,Vitória Guimarães SC,33.0
2015-10-01,Gil Vicente FC,7.05
2015-10-01,FC Paços de Ferreira,19.55
2015-10-01,GD Estoril Praia,21.75
2015-10-01,CD Santa Clara,4.45
2015-10-01,Boavista FC,16.95
2015-10-01,Portimonense SC,3.98
2015-10-01,Rio Ave FC,27.65
2015-10-01,CS Marítimo,22.25
2015-10-01,FC Vizela,22.25
2015-10-01,Casa Pia AC,22.25
2015-10-01,FC Arouca,19.45
2015-10-01,GD Chaves,8.93
2015-10-01,SL Benfica B,7.03
2015-10-01,FC Porto B,7.73
2015-10-01,Moreirense FC,15.43
2015-10-01,Académico Viseu FC,5.18
2015-10-01,SC Farense,4.5
2015-10-01,CD Tondela,11.8
2015-10-01,CD Mafra,2.43
2015-10-01,UD Vilafranquense,2.43
2015-10-01,B SAD,25.85
2015-10-01,FC Penafiel,8.33
2015-10-01,SC União Torreense,8.33
2015-10-01,CD Nacional,21.65
2015-10-01,CD Trofense,21.65
2015-10-01,CD Feirense,6.6
2015-10-01,Leixões SC,3.05
2015-10-01,CF Estrela Amadora SAD,3.05
2015-10-01,SC Covilhã,3.78
2015-10-01,UD Oliveirense,3.43
2015-09-15,SL Benfica,153.3
2015-09-15,FC Porto,164.95
2015-09-15,Sporting CP,171.75
2015-09-15,SC Braga,46.78
2015-09-15,FC Famalicão,3.85
2015-09-15,Vitória Guimarães SC,33.0
2015-09-15,Gil Vicente FC,7.05
2015-09-15,FC Paços de Ferreira,19.55
2015-09-15,GD Estoril Praia,21.75
2015-09-15,CD Santa Clara,4.03
2015-09-15,Boavista FC,16.55
2015-09-15,Portimonense SC,3.98
2015-09-15,Rio Ave FC,27.65
2015-09-15,CS Marítimo,22.25
2015-09-15,FC Vizela,22.25
2015-09-15,Casa Pia AC,22.25
2015-09-15,FC Arouca,19.45
2015-09-15,GD Chaves,8.93
2015-09-15,SL Benfica B,7.0
2015-09-15,FC Porto B,7.7
2015-09-15,Moreirense FC,15.38
2015-09-15,Académico Viseu FC,4.83
2015-09-15,SC Farense,4.5
2015-09-15,CD Tondela,11.8
2015-09-15,CD Mafra,2.43
2015-09-15,UD Vilafranquense,2.43
2015-09-15,B SAD,25.85
2015-09-15,FC Penafiel,8.7
2015-09-15,SC União Torreense,1.58
2015-09-15,CD Nacional,21.65
2015-09-15,CD Trofense,21.65
2015-09-15,CD Feirense,6.58
2015-09-15,Leixões SC,2.95
2015-09-15,CF Estrela Amadora SAD,2.95
2015-09-15,SC Covilhã,3.7
2015-09-15,UD Oliveirense,3.38
2015-09-01,SL Benfica,164.3
2015-09-01,FC Porto,159.1
2015-09-01,Sporting CP,171.35
2015-09-01,SC Braga,44.25
2015-09-01,FC Famalicão,5.53
2015-09-01,Vitória Guimarães SC,32.55
2015-09-01,Gil Vicente FC,8.95
2015-09-01,FC Paços de Ferreira,17.75
2015-09-01,GD Estoril Praia,21.75
2015-09-01,CD Santa Clara,4.95
2015-09-01,Boavista FC,16.95
2015-09-01,Portimonense SC,3.75
2015-09-01,Rio Ave FC,29.65
2015-09-01,CS Marítimo,22.25
2015-09-01,FC Vizela,22.25
2015-09-01,Casa Pia AC,22.25
2015-09-01,FC Arouca,18.6
2015-09-01,GD Chaves,8.65
2015-09-01,SL Benfica B,4.0
2015-09-01,FC Porto B,4.28
2015-09-01,Moreirense FC,15.25
2015-09-01,Académico Viseu FC,4.6
2015-09-01,SC Farense,4.68
2015-09-01,CD Tondela,11.8
2015-09-01,CD Mafra,2.98
2015-09-01,UD Vilafranquense,2.98
2015-09-01,B SAD,24.35
2015-09-01,FC Penafiel,9.8
2015-09-01,SC União Torreense,1.53
2015-09-01,CD Nacional,21.65
2015-09-01,CD Trofense,4.13
2015-09-01,CD Feirense,7.15
2015-09-01,Leixões SC,3.03
2015-09-01,CF Estrela Amadora SAD,3.03
2015-09-01,SC Covilhã,2.63
2015-09-01,UD Oliveirense,4.45
2015-08-15,SL Benfica,171.9
2015-08-15,FC Porto,200.05
2015-08-15,Sporting CP,181.3
2015-08-15,SC Braga,50.5
2015-08-15,FC Famalicão,5.53
2015-08-15,Vitória Guimarães SC,33.55
2015-08-15,Gil Vicente FC,8.95
2015-08-15,FC Paços de Ferreira,19.15
2015-08-15,GD Estoril Praia,25.25
2015-08-15,CD Santa Clara,4.95
2015-08-15,Boavista FC,18.3
2015-08-15,Portimonense SC,3.75
2015-08-15,Rio Ave FC,33.15
2015-08-15,CS Marítimo,20.9
2015-08-15,FC Vizela,20.9
2015-08-15,Casa Pia AC,20.9
2015-08-15,FC Arouca,15.1
2015-08-15,GD Chaves,9.3
2015-08-15,SL Benfica B,5.3
2015-08-15,FC Porto B,9.8
2015-08-15,Moreirense FC,11.15
2015-08-15,Académico Viseu FC,4.45
2015-08-15,SC Farense,4.48
2015-08-15,CD Tondela,11.9
2015-08-15,CD Mafra,2.98
2015-08-15,UD Vilafranquense,2.98
2015-08-15,B SAD,23.35
2015-08-15,FC Penafiel,8.8
2015-08-15,SC União Torreense,1.53
2015-08-15,CD Nacional,22.35
2015-08-15,CD Trofense,4.13
2015-08-15,CD Feirense,6.55
2015-08-15,Leixões SC,4.98
2015-08-15,CF Estrela Amadora SAD,4.98
2015-08-15,SC Covilhã,2.63
2015-08-15,UD Oliveirense,4.45
2015-08-01,SL Benfica,166.05
2015-08-01,FC Porto,194.3
2015-08-01,Sporting CP,182.7
2015-08-01,SC Braga,49.6
2015-08-01,FC Famalicão,5.53
2015-08-01,Vitória Guimarães SC,33.8
2015-08-01,Gil Vicente FC,10.05
2015-08-01,FC Paços de Ferreira,21.15
2015-08-01,GD Estoril Praia,26.6
2015-08-01,CD Santa Clara,3.4
2015-08-01,Boavista FC,19.0
2015-08-01,Portimonense SC,3.65
