HomeTeam,AwayTeam,FTHG,FTAG
Chelsea FC,Southampton FC,,
Everton FC,Leeds United,,
Manchester United,Leicester City,,
Newcastle United,Liverpool FC,,
Wolverhampton Wanderers,AFC Bournemouth,,
Tottenham Hotspur,West Ham United,,
Nottingham Forest,Manchester City,,
AFC Bournemouth,Manchester City,,
Crystal Palace,Liverpool FC,,
Everton FC,Aston Villa,,
Fulham FC,Wolverhampton Wanderers,,
Leeds United,Southampton FC,,
Leicester City,Arsenal FC,,
Manchester United,Brentford FC,,
Newcastle United,Brighton & Hove Albion,,
Tottenham Hotspur,Chelsea FC,,
West Ham United,Nottingham Forest,,
Wolverhampton Wanderers,Tottenham Hotspur,,
Southampton FC,Leicester City,,
Nottingham Forest,Everton FC,,
Manchester City,Newcastle United,,
Liverpool FC,Manchester United,,
Chelsea FC,Leeds United,,
Brighton & Hove Albion,West Ham United,,
Brentford FC,Fulham FC,,
Aston Villa,Crystal Palace,,
Arsenal FC,AFC Bournemouth,,
AFC Bournemouth,Liverpool FC,,
Crystal Palace,Manchester City,,
Everton FC,Brentford FC,,
Fulham FC,Arsenal FC,,
Leeds United,Brighton & Hove Albion,,
West Ham United,Aston Villa,,
Tottenham Hotspur,Nottingham Forest,,
Newcastle United,Wolverhampton Wanderers,,
Manchester United,Southampton FC,,
Leicester City,Chelsea FC,,
Wolverhampton Wanderers,Leeds United,,
Arsenal FC,Crystal Palace,,
Aston Villa,AFC Bournemouth,,
Brentford FC,Leicester City,,
Brighton & Hove Albion,Manchester United,,
Chelsea FC,Everton FC,,
Liverpool FC,Fulham FC,,
Manchester City,West Ham United,,
Nottingham Forest,Newcastle United,,
Southampton FC,Tottenham Hotspur,,
West Ham United,Southampton FC,,
Nottingham Forest,Wolverhampton Wanderers,,
Newcastle United,Manchester United,,
Manchester City,Liverpool FC,,
Everton FC,Tottenham Hotspur,,
Crystal Palace,Leicester City,,
Chelsea FC,Aston Villa,,
Brighton & Hove Albion,Brentford FC,,
AFC Bournemouth,Fulham FC,,
Arsenal FC,Leeds United,,
Wolverhampton Wanderers,Chelsea FC,,
Tottenham Hotspur,Brighton & Hove Albion,,
Southampton FC,Manchester City,,
Manchester United,Everton FC,,
Liverpool FC,Arsenal FC,,
Leicester City,AFC Bournemouth,,
Leeds United,Crystal Palace,,
Fulham FC,West Ham United,,
Brentford FC,Newcastle United,,
Aston Villa,Nottingham Forest,,
Aston Villa,Newcastle United,,
Wolverhampton Wanderers,Brentford FC,,
West Ham United,Arsenal FC,,
Tottenham Hotspur,AFC Bournemouth,,
Southampton FC,Crystal Palace,,
Nottingham Forest,Manchester United,,
Manchester City,Leicester City,,
Leeds United,Liverpool FC,,
Everton FC,Fulham FC,,
Chelsea FC,Brighton & Hove Albion,,
Newcastle United,Tottenham Hotspur,,
Manchester United,Chelsea FC,,
Liverpool FC,Nottingham Forest,,
Leicester City,Wolverhampton Wanderers,,
Fulham FC,Leeds United,,
Crystal Palace,Everton FC,,
Brighton & Hove Albion,Manchester City,,
Brentford FC,Aston Villa,,
AFC Bournemouth,West Ham United,,
Arsenal FC,Southampton FC,,
Everton FC,Newcastle United,,
Leeds United,Leicester City,,
Nottingham Forest,Brighton & Hove Albion,,
West Ham United,Liverpool FC,,
Wolverhampton Wanderers,Crystal Palace,,
Tottenham Hotspur,Manchester United,,
Aston Villa,Fulham FC,,
Chelsea FC,Brentford FC,,
Southampton FC,AFC Bournemouth,,
Manchester City,Arsenal FC,,
Newcastle United,Southampton FC,,
Manchester United,Aston Villa,,
Liverpool FC,Tottenham Hotspur,,
Leicester City,Everton FC,,
Fulham FC,Manchester City,,
Crystal Palace,West Ham United,,
Brighton & Hove Albion,Wolverhampton Wanderers,,
Brentford FC,Nottingham Forest,,
AFC Bournemouth,Leeds United,,
Arsenal FC,Chelsea FC,,
AFC Bournemouth,Chelsea FC,,
Brighton & Hove Albion,Everton FC,,
Fulham FC,Leicester City,,
Liverpool FC,Brentford FC,,
Manchester City,Leeds United,,
Newcastle United,Arsenal FC,,
Wolverhampton Wanderers,Aston Villa,,
West Ham United,Manchester United,,
Tottenham Hotspur,Crystal Palace,,
Nottingham Forest,Southampton FC,,
Arsenal FC,Brighton & Hove Albion,,
Aston Villa,Tottenham Hotspur,,
Brentford FC,West Ham United,,
Chelsea FC,Nottingham Forest,,
Crystal Palace,AFC Bournemouth,,
Everton FC,Manchester City,,
Leeds United,Newcastle United,,
Leicester City,Liverpool FC,,
Manchester United,Wolverhampton Wanderers,,
Southampton FC,Fulham FC,,
AFC Bournemouth,Manchester United,,
Brighton & Hove Albion,Southampton FC,,
Fulham FC,Crystal Palace,,
Liverpool FC,Aston Villa,,
Manchester City,Chelsea FC,,
Newcastle United,Leicester City,,
Nottingham Forest,Arsenal FC,,
Tottenham Hotspur,Brentford FC,,
West Ham United,Leeds United,,
Wolverhampton Wanderers,Everton FC,,
Arsenal FC,Wolverhampton Wanderers,,
Aston Villa,Brighton & Hove Albion,,
Brentford FC,Manchester City,,
Chelsea FC,Newcastle United,,
Crystal Palace,Nottingham Forest,,
Everton FC,AFC Bournemouth,,
Leeds United,Tottenham Hotspur,,
Leicester City,West Ham United,,
Manchester United,Fulham FC,,
Southampton FC,Liverpool FC,,
